Dish,calories (kcal),Fat (g),Protein (g),Carbohydrates (g)
Roti,283,2.5,8.8,56.4
Curry (Kidney Bean),162,8.4,6.4,14.8
Mutton Curry,173,12.3,11.2,4.8
Kofte-curry,169,11.8,10.6,4.6
 Chicken Pulao,168,7.9,7.2,18
Chapali Kabab,231,18.2,15.6,3.3
Shami Kabab,224,12.8,17.5,9.5
Chicken Curry,188,14.7,12.8,3.2
Chicken Sajji ,220,12.8,25,1
Fried Fish,172,9,17,5.2
Mugal Mussallam,211,15,12.2,7
Halwa ,310,16.8,4.2,36.4
Kheer,138,5,3.4,20.4
chicken biryani (250 g),404,20,20.8,29
beef biryani ,147,6.6,7.1,13
mutton biryani ,141,4.43,5.84,19.62
cooked lentils,165,6.67,8.39,18.73
Nihari,167,9.81,14.54,4.76
Haleem,157,6.68,9.77,15.2
russian salad ,122,10.45,0.96,6.68
vegetable salad ,16,0.07,1.25,3.22
chicken breast,195,7.72,29.55,0
chicken wing ,288,19.3,26.64,0
chicken drumstick,214,11.06,26.8,0
chicken fried rice,166,6.04,6.29,21.12
oats,389,6.9,16.89,66.27
egg omelette,153,12.02,10.62,0.69
Boiled egg,154,10.57,12.53,1.12
mix nuts ,617,56.3,16.51,21.58
cereal,376,3.38,7.24,83.02
chicken corn soup,130,2,7,20
Green tea ,2,0,0,0.47
coffee,2,0.04,0.21,0.07
Paratha,230,8,2,37
Lassi,207,8,4,32
youget,63,1.55,5.25,7.04
Sandwish,304,14.57,9.75,32.88
brown bread,246,4.2,9.7,46.1
milkshake,135,4.89,3.19,20.11
Butter Chicken ,202,14.52,13.87,4.32
Chai,30,0.53,0.53,6.12
Chickpea Salad,91,3,7,32
Fruit chaat,57,0.86,0.67,13.16
Mashed patato,100,3.54,1.8,15.72
plain pan cakes ,227,9.7,6.4,28.3
palak paneer,150,12,6,9
Detox Water,40,0.04,0.07,10.43
egg fried rice ,200,7,12,30
cooked mixed vegetable,81,2.13,2.78,12.71
