Food Name,calories (kcal),Fat (g),Protein (g),Carbohydrates (g)
Aloo Gobhi,,,,
Anda Masala,,,,
Baingan Aloo,,,,
Beef Biryani,147,6.6,7.1,13
Besan Chilla,,,,
Bhindi Masala,,,,
Boiled Egg,154,10.57,12.53,1.12
Bread,,,,
Butter Chicken,,,,
Chai,,,,
chana chaat,,,,
chana masala,,,,
Chapli Kabab,231,18.2,15.6,3.3
Chicken Biryani,404,20,20.8,29
chicken breast,195,7.72,29.55,0
Chicken corn soup,130,2,7,20
Chicken Karahi,,,,
Chicken Korma,188,14.7,12.8,3.2
Chicken Pulao,,,,
chicken roll,,,,
Chicken Sajji,,,,
chicken salad,,,,
Chicken Tikka,,,,
chickpea salad,,,,
coffee,,,,
Daal Chawal,,,,
Daal mash,,,,
dahi baray,,,,
Detox Water,,,,
egg fried rice,,,,
egg omelette,153,12.02,10.62,0.69
Fish fry,172,9,17,5.2
Fruit chaat,,,,
green tea,,,,
Haleem,157,6.68,9.77,15.2
Halwa,310,16.8,4.2,36.4
kala chana chaat,,,,
kheer,138,5,3.4,20.4
kofta-curry-3,,,,
Lassi,,,,
Milkshake,,,,
Murgh Mussalam,,,,
Mutton Kunna,173,12.3,11.2,4.8
naan,,,,
Nihari,167,9.81,14.54,4.76
Keema,,,,
Paratha,,,,
paya,,,,
Prawn masala,,,,
Puri,,,,
Roti,283,2.5,8.8,56.4
samosa,,,,
sandwhich,,,,
Shami Kabab,224,12.8,17.5,9.5
Tehri,168,7.9,7.2,18
veg Fried Rice,,,,
veg salad,,,,
Kidney Bean,,,,
Chicken Handi,,,,
Zeera Rice,,,,
Chicken Salan,,,,
